date,open,high,low,close,volume,Name
2016-11-22,1530.25,1535.9,1525.63,1535.42,320070,PCLN
2016-11-23,1530.92,1533.56,1510.89,1520.99,319016,PCLN
2016-11-29,1528.65,1532.9,1515.0,1520.27,327065,PCLN
2016-11-21,1512.0,1531.03,1507.2,1524.18,296359,PCLN
2016-11-17,1502.54,1530.95,1500.19,1512.9,414024,PCLN
2016-11-18,1512.28,1529.0,1504.53,1507.35,426312,PCLN
2016-11-30,1523.25,1528.58,1500.21,1503.68,375620,PCLN
2016-11-25,1523.12,1527.99,1511.4,1521.68,174009,PCLN
2016-12-07,1504.69,1527.8,1501.87,1527.04,389907,PCLN
2017-01-06,1501.54,1526.47,1501.21,1520.57,473400,PCLN
2016-12-15,1520.0,1523.0,1500.57,1501.2,584618,PCLN
2016-11-16,1492.39,1517.0,1488.23,1503.23,366913,PCLN
2016-12-21,1498.11,1512.71,1495.0,1505.76,291489,PCLN
2016-12-06,1506.96,1508.09,1493.99,1504.82,255320,PCLN
2016-12-16,1507.5,1507.97,1473.13,1484.28,714549,PCLN
2016-11-15,1499.97,1507.77,1485.6,1497.45,669081,PCLN
2017-01-05,1489.89,1504.94,1489.89,1503.7,447540,PCLN
2016-12-01,1501.69,1504.12,1468.97,1479.66,572693,PCLN
2016-12-20,1488.06,1503.96,1483.98,1502.25,306567,PCLN
2016-12-27,1490.01,1503.39,1486.43,1493.42,193927,PCLN
2016-12-22,1501.4,1503.18,1475.42,1481.34,406420,PCLN
2016-12-05,1476.19,1502.87,1475.22,1499.76,350058,PCLN
2016-10-05,1493.56,1501.79,1490.0,1497.58,399188,PCLN
2016-12-19,1484.27,1501.47,1477.99,1488.83,390571,PCLN
2016-10-04,1494.35,1498.83,1483.02,1489.02,386451,PCLN
2016-10-07,1498.74,1498.74,1478.01,1479.82,414723,PCLN
2018-02-02,1477.39,1498.0,1414.0,1429.95,11125722,AMZN
2016-10-06,1492.73,1497.26,1485.28,1490.44,362074,PCLN
2016-12-28,1494.73,1496.05,1476.48,1480.46,248715,PCLN
2017-01-04,1484.64,1493.65,1480.75,1487.29,388519,PCLN
2016-10-03,1463.83,1490.43,1459.42,1486.72,514271,PCLN
2016-12-23,1477.54,1490.08,1470.34,1486.2,275867,PCLN
2016-12-02,1481.48,1488.8,1466.98,1473.0,336892,PCLN
2016-12-29,1477.21,1487.43,1473.35,1480.16,200861,PCLN
2017-01-03,1476.91,1487.36,1459.49,1477.57,458853,PCLN
2016-10-10,1481.0,1486.59,1470.24,1475.18,441838,PCLN
2016-11-07,1437.45,1485.2,1435.79,1480.33,1395456,PCLN
2016-12-30,1483.49,1483.49,1462.34,1466.06,407379,PCLN
2016-10-28,1465.08,1483.0,1460.0,1474.82,600851,PCLN
2016-10-25,1466.24,1481.85,1465.87,1479.03,365694,PCLN
2016-09-29,1459.01,1481.78,1455.31,1472.98,652881,PCLN
2016-09-30,1478.07,1480.69,1463.92,1471.49,436543,PCLN
2016-11-01,1474.23,1480.01,1453.93,1467.0,562866,PCLN
2016-10-27,1475.1,1480.0,1461.08,1463.02,358829,PCLN
2016-10-24,1478.21,1479.83,1465.48,1471.8,274599,PCLN
